单位名称,证书编号,资质等级,行政区划,业务范围
北京东方道迩信息技术股份有限公司,甲测资字1101007,甲级,北京,"甲级：测绘航空摄影：一般航摄；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业、摄影测量与遥感监理；地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发、地理信息系统工程监理；不动产测绘：地籍测绘；地图编制：地形图、电子地图、真三维地图、其他专用地图；互联网地图服务：地理位置定位、地理信息上传标注、地图数据库开发。***
乙级：测绘航空摄影：一般航摄(影像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；工程测量：控制测量(三等以下。)、地形测量(1：500比例尺，30平方公里以下；1：1000比例尺，50平方公里以下；1：2000比例尺，80平方公里以下；1：5000比例尺，100平方公里以下；1：1万比例尺，200平方公里以下。)。***"
北京地星伟业数码科技有限公司,甲测资字1100480,甲级,北京,"甲级：地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、矿山测量；不动产测绘：地籍测绘、房产测绘、行政区域界线测绘。***
乙级：摄影测量与遥感：摄影测量与遥感外业；地图编制：地形图(省级及以下行政区域范围内。)、真三维地图(省级及以下行政区域范围内。)、其他专用地图(省级及以下行政区域范围内。)；不动产测绘：不动产测绘监理(相应于上述限额。)；地理信息系统工程：地理信息系统工程监理(相应于上述限额。)；工程测量：工程测量监理(相应于上述限额。)；测绘航空摄影：无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)。***"
北京地矿工程建设有限责任公司,甲测资字1100688,甲级,北京,"甲级：工程测量；不动产测绘。***
乙级：大地测量：水准测量(三等以下)、三角测量(三等以下)、卫星定位测量(Ｃ级以下。不得承担全球导航卫星系统连续运行基准站建设。)；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)；摄影测量与遥感：摄影测量与遥感外业。***"
北京道济测绘有限公司,甲测资字1100877,甲级,北京,"甲级：工程测量：控制测量、地形测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、地下管线测量、矿山测量、规划测量；不动产测绘：地籍测绘、房产测绘、行政区域界线测绘。***
乙级：大地测量：卫星定位测量(Ｃ级以下。不得承担全球导航卫星系统连续运行基准站建设。)、水准测量(三等以下)、三角测量(三等以下)、大地测量数据处理(相应于上述限额)；摄影测量与遥感：摄影测量与遥感外业；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发；工程测量：水利工程测量(不得承担特大型水利水电工程。)、工程测量监理(相应于上述限额。)；不动产测绘：不动产测绘监理(相应于上述限额。)。***"
北京鼎春德正测绘中心,甲测资字1101040,甲级,北京,"甲级：工程测量：地形测量、建筑工程测量、市政工程测量；不动产测绘：地籍测绘、房产测绘。***
乙级：地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)；工程测量：控制测量(三等以下。)、规划测量(总建筑面积50万平方米以下；国家重点建设工程不得承担。)、变形形变与精密测量(一般精密设备安装。建筑面积在10万平方米以下且高度在100m以下的建筑。)、水利工程测量(不得承担特大型水利水电工程。)、线路与桥隧测量(300km以下的线路，多孔跨径总长在100m以下的桥梁，4km以下的隧道。)、地下管线测量(管线长度300km以下。)、矿山测量(矿区控制面积200平方公里以下。)、工程测量监理(相应于上述限额。)；不动产测绘：不动产测绘监理(相应于上述限额。)。***"
北京初速度科技有限公司,甲测资字1101443,甲级,北京,"甲级：导航电子地图制作：导航电子地图制作。***
乙级：地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发；互联网地图服务：地理位置定位、地理信息上传标注。***"
北京国遥新天地信息技术有限公司,甲测资字1100750,甲级,北京,"甲级：地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地面移动测量、地理信息软件开发、地理信息系统工程监理。***
乙级：大地测量：卫星定位测量(Ｃ级以下。不得承担全球导航卫星系统连续运行基准站建设。)；测绘航空摄影：一般航摄(影像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)、无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；工程测量：控制测量(三等以下。)、地下管线测量(管线长度300km以下。)；不动产测绘：地籍测绘(日常地籍调查及设区的市级以下地籍总调查中的地籍测绘。)；地图编制：地形图(省级及以下行政区域范围内。)、电子地图(省级及以下行政区域范围内。)、真三维地图(省级及以下行政区域范围内。)、其他专用地图(省级及以下行政区域范围内。)；海洋测绘：海域权属测绘、海岸地形测量(100平方公里以下。)、水深测量(100平方公里以下。)、水文观测(100平方公里以下。)、海洋工程测量(100平方公里以下。)、扫海测量(100平方公里以下。)。***"
北京瀚博林遥感测图信息工程研究院,甲测资字1101130,甲级,北京,"甲级：地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、水利工程测量、线路与桥隧测量、地下管线测量；不动产测绘：地籍测绘、房产测绘。***
乙级：测绘航空摄影：一般航摄(影像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)、无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息软件开发、地理信息系统工程监理(相应于上述限额。)；工程测量：矿山测量(矿区控制面积200平方公里以下。)、工程测量监理(相应于上述限额。)；不动产测绘：不动产测绘监理(相应于上述限额。)；地图编制：地形图(省级及以下行政区域范围内。)、电子地图(省级及以下行政区域范围内。)、真三维地图(省级及以下行政区域范围内。)、其他专用地图(省级及以下行政区域范围内。)。***"
北京国测信息科技有限责任公司,甲测资字1100131,甲级,北京,"甲级：工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、地下管线测量、矿山测量、工程测量监理。***
乙级：摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发；不动产测绘：地籍测绘(日常地籍调查及设区的市级以下地籍总调查中的地籍测绘。)、房产测绘(规划许可证载单栋建筑面积10万平方米以下；单个合同标的不超过建筑面积200万平方米。)。***"
北京国政恒信测绘技术服务有限公司,甲测资字1101158,甲级,北京,"甲级：工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、矿山测量；不动产测绘：地籍测绘、房产测绘、不动产测绘监理。***
乙级：摄影测量与遥感：摄影测量与遥感外业；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)；地图编制：地形图(省级及以下行政区域范围内。)；大地测量：卫星定位测量(Ｃ级以下。不得承担全球导航卫星系统连续运行基准站建设。)、水准测量(三等以下)、三角测量(三等以下)；工程测量：工程测量监理(相应于上述限额。)、地下管线测量(管线长度300km以下。)。***"
北京国电经纬工程技术有限公司,甲测资字1100444,甲级,北京,"甲级：测绘航空摄影：一般航摄；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发。***
乙级：工程测量：控制测量(三等以下。)、地形测量(1：500比例尺，30平方公里以下；1：1000比例尺，50平方公里以下；1：2000比例尺，80平方公里以下；1：5000比例尺，100平方公里以下；1：1万比例尺，200平方公里以下。)、建筑工程测量(建筑范围1平方公里以下，单个建筑物10万平方米以下。)、市政工程测量(特大城市一般道路、大中等城市主干道路、一般立交桥。)、线路与桥隧测量(300km以下的线路，多孔跨径总长在100m以下的桥梁，4km以下的隧道。)。***"
北京富地勘察测绘有限公司,甲测资字1100435,甲级,北京,"甲级：测绘航空摄影：无人飞行器航摄、倾斜航摄；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、水利工程测量、线路与桥隧测量、地下管线测量、矿山测量；不动产测绘：地籍测绘、房产测绘。***
乙级：测绘航空摄影：一般航摄(影像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)、无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发。***"
北京东方新星勘察设计有限公司,甲测资字1101470,甲级,北京,"甲级：地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、水利工程测量、线路与桥隧测量、地下管线测量、矿山测量。***
乙级：摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；不动产测绘：地籍测绘(日常地籍调查及设区的市级以下地籍总调查中的地籍测绘。)。***"
北京国测星绘信息技术有限公司,甲测资字1101371,甲级,北京,甲级：摄影测量与遥感：摄影测量与遥感内业；地理信息系统工程：地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发。***
北京华星勘查新技术有限公司,甲测资字1100264,甲级,北京,"甲级：地理信息系统工程：地理信息数据采集、地理信息数据处理；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、地下管线测量、矿山测量、工程测量监理；不动产测绘：地籍测绘、房产测绘、行政区域界线测绘、不动产测绘监理。***
乙级：大地测量：卫星定位测量(Ｃ级以下。不得承担全球导航卫星系统连续运行基准站建设。)、水准测量(三等以下)、大地测量数据处理(相应于上述限额)；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业。***"
北京航天世景信息技术有限公司,甲测资字1100598,甲级,北京,"甲级：摄影测量与遥感：摄影测量与遥感内业；地理信息系统工程：地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发；工程测量：控制测量、地形测量、建筑工程测量、市政工程测量、线路与桥隧测量、矿山测量；不动产测绘：地籍测绘；互联网地图服务。***
乙级：摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发；工程测量：控制测量(三等以下。)、地形测量(1：500比例尺，30平方公里以下；1：1000比例尺，50平方公里以下；1：2000比例尺，80平方公里以下；1：5000比例尺，100平方公里以下；1：1万比例尺，200平方公里以下。)、建筑工程测量(建筑范围1平方公里以下，单个建筑物10万平方米以下。)、市政工程测量(特大城市一般道路、大中等城市主干道路、一般立交桥。)、线路与桥隧测量(300km以下的线路，多孔跨径总长在100m以下的桥梁，4km以下的隧道。)、矿山测量(矿区控制面积200平方公里以下。)；不动产测绘：地籍测绘(日常地籍调查及设区的市级以下地籍总调查中的地籍测绘。)。***"
北京汇达城数科技发展有限公司,甲测资字1101533,甲级,北京,甲级：测绘航空摄影：无人飞行器航摄；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、水利工程测量、线路与桥隧测量、地下管线测量、矿山测量；不动产测绘：地籍测绘、房产测绘；地图编制：地形图、真三维地图。***
北京航天宏图信息技术股份有限公司,甲测资字1101353,甲级,北京,"甲级：摄影测量与遥感：摄影测量与遥感内业；地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发。***
乙级：摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感监理；地理信息系统工程：地理信息系统工程监理(相应于上述限额。)；工程测量：控制测量(三等以下。)、建筑工程测量(建筑范围1平方公里以下，单个建筑物10万平方米以下。)、市政工程测量(特大城市一般道路、大中等城市主干道路、一般立交桥。)、线路与桥隧测量(300km以下的线路，多孔跨径总长在100m以下的桥梁，4km以下的隧道。)；不动产测绘：地籍测绘(日常地籍调查及设区的市级以下地籍总调查中的地籍测绘。)、房产测绘(规划许可证载单栋建筑面积10万平方米以下；单个合同标的不超过建筑面积200万平方米。)、不动产测绘监理(相应于上述限额。)；地图编制：地形图(省级及以下行政区域范围内。)、电子地图(省级及以下行政区域范围内。)、真三维地图(省级及以下行政区域范围内。)、其他专用地图(省级及以下行政区域范围内。)。***"
北京恒华伟业科技股份有限公司,甲测资字1100462,甲级,北京,"甲级：地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设；工程测量：控制测量、地形测量、建筑工程测量、变形形变与精密测量、市政工程测量、水利工程测量、线路与桥隧测量、地下管线测量；互联网地图服务。***
乙级：测绘航空摄影：无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；不动产测绘：地籍测绘(日常地籍调查及设区的市级以下地籍总调查中的地籍测绘。)、房产测绘(规划许可证载单栋建筑面积10万平方米以下；单个合同标的不超过建筑面积200万平方米。)。***"
北京合众思壮科技股份有限公司,甲测资字1100096,甲级,北京,"甲级：大地测量：卫星定位测量、全球导航卫星系统连续运行基准站网位置数据服务；地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发；互联网地图服务：地理位置定位、地理信息上传标注、地图数据库开发。***
乙级：地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发；大地测量：卫星定位测量(Ｃ级以下。不得承担全球导航卫星系统连续运行基准站建设。)、全球导航卫星系统连续运行基准站网位置数据服务(设区的市级行政区域以下。不得提供国家和区域坐标参考框架服务。不得提供优于0.1m精度的位置数据服务。)。***"
北京航天泰坦科技股份有限公司,甲测资字1101524,甲级,北京,"甲级：地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发。***
乙级：测绘航空摄影：一般航摄(影像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)、无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；工程测量：控制测量(三等以下。)、地形测量(1：500比例尺，30平方公里以下；1：1000比例尺，50平方公里以下；1：2000比例尺，80平方公里以下；1：5000比例尺，100平方公里以下；1：1万比例尺，200平方公里以下。)、建筑工程测量(建筑范围1平方公里以下，单个建筑物10万平方米以下。)、市政工程测量(特大城市一般道路、大中等城市主干道路、一般立交桥。)、线路与桥隧测量(300km以下的线路，多孔跨径总长在100m以下的桥梁，4km以下的隧道。)、矿山测量(矿区控制面积200平方公里以下。)；不动产测绘：地籍测绘(日常地籍调查及设区的市级以下地籍总调查中的地籍测绘。)、房产测绘(规划许可证载单栋建筑面积10万平方米以下；单个合同标的不超过建筑面积200万平方米。)；地图编制：地形图(省级及以下行政区域范围内。)、电子地图(省级及以下行政区域范围内。)、真三维地图(省级及以下行政区域范围内。)、其他专用地图(省级及以下行政区域范围内。)。***"
北京华为数字技术有限公司,甲测资字1101509,甲级,北京,甲级：导航电子地图制作：导航电子地图制作。***
北京金房兴业测绘有限公司,甲测资字1101272,甲级,北京,"甲级：工程测量：地形测量、规划测量、建筑工程测量、市政工程测量、线路与桥隧测量；不动产测绘：地籍测绘、房产测绘。***
乙级：地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发；工程测量：控制测量(三等以下。)、变形形变与精密测量(一般精密设备安装。建筑面积在10万平方米以下且高度在100m以下的建筑。)、水利工程测量(不得承担特大型水利水电工程。)、矿山测量(矿区控制面积200平方公里以下。)。***"
北京九鼎图业科技有限公司,甲测资字1101518,甲级,北京,甲级：摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发、地理信息系统工程监理；工程测量：控制测量、地形测量、建筑工程测量、市政工程测量、水利工程测量、线路与桥隧测量、矿山测量；不动产测绘：地籍测绘、房产测绘；地图编制：地形图、电子地图、真三维地图、其他专用地图。***
北京吉威数源信息技术有限公司,甲测资字1101211,甲级,北京,"甲级：地理信息系统工程：地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发；地图编制：地形图、电子地图、真三维地图、其他专用地图。***
乙级：摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业、摄影测量与遥感监理；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息系统工程监理(相应于上述限额。)；工程测量：控制测量(三等以下。)、地形测量(1：500比例尺，30平方公里以下；1：1000比例尺，50平方公里以下；1：2000比例尺，80平方公里以下；1：5000比例尺，100平方公里以下；1：1万比例尺，200平方公里以下。)、建筑工程测量(建筑范围1平方公里以下，单个建筑物10万平方米以下。)、市政工程测量(特大城市一般道路、大中等城市主干道路、一般立交桥。)、线路与桥隧测量(300km以下的线路，多孔跨径总长在100m以下的桥梁，4km以下的隧道。)、矿山测量(矿区控制面积200平方公里以下。)；不动产测绘：地籍测绘(日常地籍调查及设区的市级以下地籍总调查中的地籍测绘。)、房产测绘(规划许可证载单栋建筑面积10万平方米以下；单个合同标的不超过建筑面积200万平方米。)、不动产测绘监理(相应于上述限额。)。***"
北京京密鸿图测绘有限公司,甲测资字1101121,甲级,北京,"甲级：工程测量；不动产测绘。***
乙级：地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发。***"
北京京东叁佰陆拾度电子商务有限公司,甲测资字1100816,甲级,北京,"甲级：导航电子地图制作：导航电子地图制作；互联网地图服务：地理位置定位、地理信息上传标注、地图数据库开发。***
乙级：地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地面移动测量、地理信息软件开发。***"
北京捷泰天域信息技术有限公司,甲测资字1100041,甲级,北京,"甲级：互联网地图服务。***
乙级：地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发；地图编制：地形图(省级及以下行政区域范围内。)、电子地图(省级及以下行政区域范围内。)、真三维地图(省级及以下行政区域范围内。)、其他专用地图(省级及以下行政区域范围内。)。***"
北京京昌工程测绘技术有限公司,甲测资字1100228,甲级,北京,"甲级：地理信息系统工程：地理信息数据处理；工程测量：控制测量、地形测量、规划测量、建筑工程测量、变形形变与精密测量、市政工程测量、线路与桥隧测量、地下管线测量；不动产测绘：地籍测绘、房产测绘。***
乙级：大地测量：卫星定位测量(Ｃ级以下。不得承担全球导航卫星系统连续运行基准站建设。)、水准测量(三等以下)、三角测量(三等以下)、大地测量数据处理(相应于上述限额)；测绘航空摄影：无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；摄影测量与遥感：摄影测量与遥感外业；地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发；工程测量：水利工程测量(不得承担特大型水利水电工程。)。***"
北京建设数字科技股份有限公司,甲测资字1101281,甲级,北京,"甲级：地理信息系统工程：地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发。***
乙级：测绘航空摄影：一般航摄(影像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)。***"
北京三正科技股份有限公司,甲测资字1100069,甲级,北京,"甲级：互联网地图服务。***
乙级：地理信息系统工程：地理信息数据采集(设区的市级行政区域以下。)、地理信息数据处理(设区的市级行政区域以下。)、地理信息系统及数据库建设(设区的市级行政区域以下。)、地理信息软件开发、地理信息系统工程监理(相应于上述限额。)。***"
北京九五智驾信息技术股份有限公司,甲测资字1100499,甲级,北京,甲级：互联网地图服务。***
北京三友宇天测绘有限公司,甲测资字1100618,甲级,北京,"甲级：地理信息系统工程：地理信息数据采集、地理信息数据处理、地理信息系统及数据库建设、地理信息软件开发；工程测量：地形测量、建筑工程测量、市政工程测量；不动产测绘：地籍测绘、房产测绘；互联网地图服务。***
乙级：测绘航空摄影：无人飞行器航摄(摄像地面分辨率优于0.2m，1000平方公里以下；0.2m，2000平方公里以下；0.2m~1m，30000平方公里以下。)；摄影测量与遥感：摄影测量与遥感外业、摄影测量与遥感内业；工程测量：变形形变与精密测量(一般精密设备安装。建筑面积在10万平方米以下且高度在100m以下的建筑。)；地图编制：地形图(省级及以下行政区域范围内。)、电子地图(省级及以下行政区域范围内。)、真三维地图(省级及以下行政区域范围内。)、其他专用地图(省级及以下行政区域范围内。)。***"
